date,weekday,dish_name,category,price_level,temperature_c,is_holiday,cooked_qty,sold_qty,wasted_qty
2025-01-01,Wednesday,Chicken Curry,Main,Medium,17.0,0,124,112,12
2025-01-01,Wednesday,Beef Stew,Main,High,17.0,0,98,93,5
2025-01-01,Wednesday,Veg Pasta,Veg,Low,17.0,0,94,83,11
2025-01-01,Wednesday,Rice,Side,Low,17.0,0,156,149,7
2025-01-01,Wednesday,Chocolate Pudding,Dessert,Medium,17.0,0,80,70,10
2025-01-02,Thursday,Chicken Curry,Main,Medium,7.3,0,133,125,8
2025-01-02,Thursday,Beef Stew,Main,High,7.3,0,110,101,9
2025-01-02,Thursday,Veg Pasta,Veg,Low,7.3,0,82,76,6
2025-01-02,Thursday,Rice,Side,Low,7.3,0,138,128,10
2025-01-02,Thursday,Chocolate Pudding,Dessert,Medium,7.3,0,77,71,6
2025-01-03,Friday,Chicken Curry,Main,Medium,26.7,0,140,128,12
2025-01-03,Friday,Beef Stew,Main,High,26.7,0,115,104,11
2025-01-03,Friday,Veg Pasta,Veg,Low,26.7,0,105,99,6
2025-01-03,Friday,Rice,Side,Low,26.7,0,162,145,17
2025-01-03,Friday,Chocolate Pudding,Dessert,Medium,26.7,0,80,74,6
2025-01-06,Monday,Chicken Curry,Main,Medium,11.9,0,136,120,16
2025-01-06,Monday,Beef Stew,Main,High,11.9,0,126,117,9
2025-01-06,Monday,Veg Pasta,Veg,Low,11.9,0,98,89,9
2025-01-06,Monday,Rice,Side,Low,11.9,0,157,137,20
2025-01-06,Monday,Chocolate Pudding,Dessert,Medium,11.9,0,87,78,9
2025-01-07,Tuesday,Chicken Curry,Main,Medium,19.4,0,129,121,8
2025-01-07,Tuesday,Beef Stew,Main,High,19.4,0,107,99,8
2025-01-07,Tuesday,Veg Pasta,Veg,Low,19.4,0,93,87,6
2025-01-07,Tuesday,Rice,Side,Low,19.4,0,144,134,10
2025-01-07,Tuesday,Chocolate Pudding,Dessert,Medium,19.4,0,82,75,7
2025-01-08,Wednesday,Chicken Curry,Main,Medium,15.2,0,126,110,16
2025-01-08,Wednesday,Beef Stew,Main,High,15.2,0,93,89,4
2025-01-08,Wednesday,Veg Pasta,Veg,Low,15.2,0,100,89,11
2025-01-08,Wednesday,Rice,Side,Low,15.2,0,161,143,18
2025-01-08,Wednesday,Chocolate Pudding,Dessert,Medium,15.2,0,75,71,4
2025-01-09,Thursday,Chicken Curry,Main,Medium,3.6,0,135,122,13
2025-01-09,Thursday,Beef Stew,Main,High,3.6,0,108,100,8
